RAL, RGB, HEX, German, English, French, Spanish, Italian, Nederlands,,R,G,B,parsed_col
RAL 1000,190-189-127,#BEBD7F,Grünbeige,Green beige,Beige vert,Beige verdoso,Beige verdastro,Groenbeige,,190,189,127,red
RAL 1001,194-176-120,#C2B078,Beige,Beige,Beige,Beige,Beige,Beige,,194,176,120,red
RAL 1002,198-166-100,#C6A664,Sandgelb,Sand yellow,Jaune sable,Amarillo arena,Giallo sabbia,Zandgeel,,198,166,100,red
RAL 1003,229-190-001,#E5BE01,Signalgelb,Signal yellow,Jaune de sécurité,Amarillo señales,Giallo segnale,Signaalgeel,,229,190,1,red
RAL 1004,205-164-052,#CDA434,Goldgelb,Golden yellow,Jaune or,Amarillo oro,Giallo oro,Goudgeel,,205,164,52,red
RAL 1005,169-131-007,#A98307,Honiggelb,Honey yellow,Jaune miel,Amarillo miel,Giallo miele,Honinggeel,,169,131,7,red
RAL 1006,228-160-016,#E4A010,Maisgelb,Maize yellow,Jaune maïs,Amarillo maiz,Giallo polenta,Maisgeel,,228,160,16,red
RAL 1007,220-156-000,#DC9D00,Narzissengelb,Daffodil yellow,Jaune narcisse,Amarillo narciso,Giallo narciso,Narcissengeel,,220,156,0,red
RAL 1011,138-102-066,#8A6642,Braunbeige,Brown beige,Beige brun,Beige pardo,Beige marrone,Bruinbeige,,138,102,66,red
RAL 1012,199-180-070,#C7B446,Zitronengelb,Lemon yellow,Jaune citron,Amarillo limón,Giallo limone,Citroengeel,,199,180,70,red
RAL 1013,234-230-202,#EAE6CA,Perlweiß,Oyster white,Blanc perlé,Blanco perla,Bianco perla,Parelwit,,234,230,202,red
RAL 1014,225-204-079,#E1CC4F,Elfenbein,Ivory,Ivoire,Marfil,Avorio,Ivoorkleurig,,225,204,79,red
RAL 1015,230-214-144,#E6D690,Hellelfenbein,Light ivory,Ivoire clair,Marfil claro,Avorio chiaro,Licht ivoorkleurig,,230,214,144,red
RAL 1016,237-255-033,#EDFF21,Schwefelgelb,Sulfur yellow,Jaune soufre,Amarillo azufre,Giallo zolfo,Zwavelgeel,,237,255,33,green
RAL 1017,245-208-051,#F5D033,Safrangelb,Saffron yellow,Jaune safran,Amarillo azafrán,Giallo zafferano,Saffraangeel,,245,208,51,red
RAL 1018,248-243-053,#F8F32B,Zinkgelb,Zinc yellow,Jaune zinc,Amarillo de zinc,Giallo zinco,Zinkgeel,,248,243,53,red
RAL 1019,158-151-100,#9E9764,Graubeige,Grey beige,Beige gris,Beige agrisado,Beige grigiastro,Grijsbeige,,158,151,100,red
RAL 1020,153-153-080,#999950,Olivgelb,Olive yellow,Jaune olive,Amarillo oliva,Giallo olivastro,Olijfgeel,,153,153,80,equal
RAL 1021,243-218-011,#F3DA0B,Rapsgelb,Rape yellow,Jaune colza,Amarillo colza,Giallo navone,Koolzaadgeel,,243,218,11,red
RAL 1023,250-210-001,#FAD201,Verkehrsgelb,Traffic yellow,Jaune signalisation,Amarillo tráfico,Giallo traffico,Verkeersgeel,,250,210,1,red
RAL 1024,174-160-075,#AEA04B,Ockergelb,Ochre yellow,Jaune ocre,Amarillo ocre,Giallo ocra,Okergeel,,174,160,75,red
RAL 1026,255-255-000,#FFFF00,Leuchtgelb,Luminous yellow,Jaune brillant,Amarillo brillante,Giallo brillante,Briljantgeel,,255,255,0,equal
RAL 1027,157-145-001,#9D9101,Currygelb,Curry,Jaune curry,Amarillo curry,Giallo curry,Kerriegeel,,157,145,1,red
RAL 1028,244-169-000,#F4A900,Melonengelb,Melon yellow,Jaune melon,Amarillo melón,Giallo melone,Meloengeel,,244,169,0,red
RAL 1032,214-174-001,#D6AE01,Ginstergelb,Broom yellow,Jaune genêt,Amarillo retama,Giallo scopa,Bremgeel,,214,174,1,red
RAL 1033,243-165-005,#F3A505,Dahliengelb,Dahlia yellow,Jaune dahlia,Amarillo dalia,Giallo dahlien,Dahliageel,,243,165,5,red
RAL 1034,239-169-074,#EFA94A,Pastellgelb,Pastel yellow,Jaune pastel,Amarillo pastel,Giallo pastello,Pastelgeel,,239,169,74,red
RAL 1035,106-093-077,#6A5D4D,Perlbeige,Pearl beige,Beige nacré,Beige perlado,Beige perlato,Parelmoergrijs,,106,93,77,red
RAL 1036,112-083-053,#705335,Perlgold,Pearl gold,Or nacré,Oro perlado,Oro perlato,Parelmoergoud,,112,83,53,red
RAL 1037,243-159-024,#F39F18,Sonnengelb,Sun yellow,Jaune soleil,Amarillo sol,Giallo sole,Zonnegeel,,243,159,24,red
RAL 2000,237-118-014,#ED760E,Gelborange,Yellow orange,Orangé jaune,Amarillo naranja,Arancio giallastro,Geeloranje,,237,118,14,red
RAL 2001,201-060-032,#C93C20,Rotorange,Red orange,Orangé rouge,Rojo anaranjado,Arancio rossastro,Roodoranje,,201,60,32,red
RAL 2002,203-040-033,#CB2821,Blutorange,Vermilion,Orangé sang,Naranja sanguineo,Arancio sanguigno,Vermiljoen,,203,40,33,red
RAL 2003,255-117-020,#FF7514,Pastellorange,Pastel orange,Orangé pastel,Naranja pálido,Arancio pastello,Pasteloranje,,255,117,20,red
RAL 2004,244-070-017,#F44611,Reinorange,Pure orange,Orangé pur,Naranja puro,Arancio puro,Zuiver oranje,,244,70,17,red
RAL 2005,255-035-001,#FF2301,Leuchtorange,Luminous orange,Orangé brillant,Naranja brillante,Arancio brillante,Briljant oranje,,255,35,1,red
RAL 2007,255-164-032,#FFA420,Leuchthellorange,Luminous bright orange,Orangé clair rillant,Naranja claro brillante,Arancio chiaro brillante,Briljant lichtoranje,,255,164,32,red
RAL 2008,247-094-037,#F75E25,Hellrotorange,Bright red orange,Orangé rouge clair,Rojo claro anaranjado,Rosso arancio chiaro,Licht roodoranje,,247,94,37,red
RAL 2009,245-064-033,#F54021,Verkehrsorange,Traffic orange,Orangé signalisation,Naranja tráfico,Arancio traffico,Verkeersoranje,,245,64,33,red
RAL 2010,216-075-032,#D84B20,Signalorange,Signal orange,Orangé de sécurité,Naranja señales,Arancio segnale,Signaaloranje,,216,75,32,red
RAL 2011,236-124-038,#EC7C26,Tieforange,Deep orange,Orangé foncé,Naranja intenso,Arancio profondo,Dieporanje,,236,124,38,red
RAL 2012,235-106-014,#E55137,Lachsorange,Salmon range,Orangé saumon,Naranja salmón,Arancio salmone,Zalmoranje,,235,106,14,red
RAL 2013,195-088-049,#C35831,Perlorange,Pearl orange,Orangé nacré,Naranja perlado,Arancio perlato,Parelmoeroranje,,195,88,49,red
RAL 3000,175-043-030,#AF2B1E,Feuerrot,Flame red,Rouge feu,Rojo vivo,Rosso fuoco,Vuurrood,,175,43,30,red
RAL 3001,165-032-025,#A52019,Signalrot,Signal red,Rouge de sécurité,Rojo señales,Rosso  segnale,Signaalrood,,165,32,25,red
RAL 3002,162-035-029,#A2231D,Karminrot,Carmine red,Rouge carmin,Rojo carmin,Rosso carminio,Karmijnrood,,162,35,29,red
RAL 3003,155-017-030,#9B111E,Rubinrot,Ruby red,Rouge rubis,Rojo rubí,Rosso rubino,Robijnrood,,155,17,30,red
RAL 3004,117-021-030,#75151E,Purpurrot,Purple red,Rouge pourpre,Rojo purpura,Rosso porpora,Purperrood,,117,21,30,red
RAL 3005,094-033-041,#5E2129,Weinrot,Wine red,Rouge vin,Rojo vino,Rosso vino,Wijnrood,,94,33,41,red
RAL 3007,065-034-039,#412227,Schwarzrot,Black red,Rouge noir,Rojo negruzco,Rosso nerastro,Zwartrood,,65,34,39,red
RAL 3009,100-036-036,#642424,Oxidrot,Oxide red,Rouge oxyde,Rojo óxido,Rosso  ossido,Oxyderood,,100,36,36,red
RAL 3011,120-031-025,#781F19,Braunrot,Brown red,Rouge brun,Rojo pardo,Rosso marrone,Bruinrood,,120,31,25,red
RAL 3012,193-135-107,#C1876B,Beigerot,Beige red,Rouge beige,Rojo beige,Rosso beige,Beigerood,,193,135,107,red
RAL 3013,161-035-018,#A12312,Tomatenrot,Tomato red,Rouge tomate,Rojo tomate,Rosso pomodoro,Tomaatrood,,161,35,18,red
RAL 3014,211-110-112,#D36E70,Altrosa,Antique pink,Vieux rose,Rojo viejo,Rosa antico,Oudroze,,211,110,112,red
RAL 3015,234-137-154,#EA899A,Hellrosa,Light pink,Rose clair,Rosa claro,Rosa chiaro,Lichtroze,,234,137,154,red
RAL 3016,179-040-033,#B32821,Korallenrot,Coral red,Rouge corail,Rojo coral,Rosso corallo,Koraalrood,,179,40,33,red
RAL 3017,230-050-068,#E63244,Rosé,Rose,Rosé,Rosa,Rosato,Bleekrood,,230,50,68,red
RAL 3018,213-048-050,#D53032,Erdbeerrot,Strawberry red,Rouge fraise,Rojo fresa,Rosso fragola,Aardbeirood,,213,48,50,red
RAL 3020,204-006-005,#CC0605,Verkehrsrot,Traffic red,Rouge signalisation,Rojo tráfico,Rosso traffico,Verkeersrood,,204,6,5,red
RAL 3022,217-080-048,#D95030,Lachsrot,Salmon pink,Rouge saumon,Rojo salmón,Rosso salmone,Zalmrood,,217,80,48,red
RAL 3024,248-000-000,#F80000,Leuchtrot,Luminous red,Rouge brillant,Rojo brillante,Rosso brillante,Briljantrood,,248,0,0,red
RAL 3026,254-000-000,#FE0000,Leuchthellrot,Luminous bright red,Rouge clair brillant,Rojo claro brillante,Rosso chiaro brillante,Briljant lichtrood,,254,0,0,red
RAL 3027,197-029-052,#C51D34,Himbeerrot,Raspberry red,Rouge framboise,Rojo frambuesa,Rosso lampone,Framboosrood,,197,29,52,red
RAL 3028,203-050-052,#CB3234,Reinrot,Pure  red,Rouge puro,Rojo puro,Rosso puro,Zuiverrood,,203,50,52,red
RAL 3031,179-036-040,#B32428,Orientrot,Orient red,Rouge oriental,Rojo oriente,Rosso oriente,Oriëntrood,,179,36,40,red
RAL 3032,114-020-034,#721422,Perlrubinrot,Pearl ruby red,Rouge rubis nacré,Rojo rubí perlado,Rosso rubino perlato,Parelmoer-donkerrood,,114,20,34,red
RAL 3033,180-076-067,#B44C43,Perlrosa,Pearl pink,Rose nacré,Rosa perlado,Rosa perlato,Parelmoer-lichtrood,,180,76,67,red
RAL 4001,222-076-138,#6D3F5B,Rotlila,Red lilac,Lilas rouge,Rojo lila,Lilla rossastro,Roodlila,,222,76,138,red
RAL 4002,146-043-062,#922B3E,Rotviolett,Red violet,Violet rouge,Rojo violeta,Viola rossastro,Roodpaars,,146,43,62,red
RAL 4003,222-076-138,#DE4C8A,Erikaviolett,Heather violet,Violet bruyère,Violeta érica,Viola erica,Heidepaars,,222,76,138,red
RAL 4004,110-028-052,#641C34,Bordeauxviolett,Claret violet,Violet bordeaux,Burdeos,Viola bordeaux,Bordeauxpaars,,110,28,52,red
RAL 4005,108-070-117,#6C4675,Blaulila,Blue lilac,Lilas bleu,Lila azulado,Lilla bluastro,Blauwlila,,108,70,117,blue
RAL 4006,160-052-114,#A03472,Verkehrspurpur,Traffic purple,Pourpre signalisation,Púrpurá tráfico,Porpora traffico,Verkeerspurper,,160,52,114,red
RAL 4007,074-025-044,#4A192C,Purpurviolett,Purple violet,Violet pourpre,Violeta púrpura,Porpora violetto,Purperviolet,,74,25,44,red
RAL 4008,144-070-132,#924E7D,Signalviolett,Signal violet,Violet de sécurité,Violeta señales,Violetto segnale,Signaalviolet,,144,70,132,red
RAL 4009,164-125-144,#A18594,Pastellviolett,Pastel violet,Violet pastel,Violeta pastel,Violetto pastello,Pastelviolet,,164,125,144,red
RAL 4010,215-045-109,#CF3476,Telemagenta,Telemagenta,Telemagenta,Magenta tele,Tele Magenta,Telemagenta,,215,45,109,red
RAL 4011,134-115-161,#8673A1,Perlviolett,Pearl violet,Violet nacré,Violeta perlado,Violetto perlato,Parelmoer-donkerviolet,,134,115,161,blue
RAL 4012,108-104-129,#6C6874,Perlbrombeer,Pearl black berry,Mûre nacré,Morado perlado,Mora perlato,Parelmoer-lichtviolet,,108,104,129,blue
RAL 5000,042-046-075,#354D73,Violettblau,Violet blue,Bleu violet,Azul violeta,Blu violaceo,Paarsblauw,,42,46,75,blue
RAL 5001,031-052-056,#1F3438,Grünblau,Green blue,Bleu vert,Azul verdoso,Blu verdastro,Groenblauw,,31,52,56,blue
RAL 5002,032-033-079,#20214F,Ultramarinblau,Ultramarine blue,Bleu outremer,Azul ultramar,Blu oltremare,Ultramarijnblauw,,32,33,79,blue
RAL 5003,029-030-051,#1D1E33,Saphirblau,Saphire blue,Bleu saphir,Azul zafiro,Blu zaffiro,Saffierblauw,,29,30,51,blue
RAL 5004,032-033-079,#18171C,Schwarzblau,Black blue,Bleu noir,Azul negruzco,Blu nerastro,Zwartblauw,,32,33,79,blue
RAL 5005,030-045-110,#1E2460,Signalblau,Signal blue,Bleu de sécurité,Azul señales,Blu segnale,Signaalblauw,,30,45,110,blue
RAL 5007,062-095-138,#3E5F8A,Brillantblau,Brillant blue,Bleu brillant,Azul brillante,Blu brillante,Briljantblauw,,62,95,138,blue
RAL 5008,038-037-045,#26252D,Graublau,Grey blue,Bleu gris,Azul grisáceo,Blu grigiastro,Grijsblauw,,38,37,45,blue
RAL 5009,002-086-105,#025669,Azurblau,Azure blue,Bleu azur,Azul azur,Blu  azzurro,Azuurblauw,,2,86,105,blue
RAL 5010,014-041-075,#0E294B,Enzianblau,Gentian blue,Bleu gentiane,Azul genciana,Blu  genziana,Gentiaanblauw,,14,41,75,blue
RAL 5011,035-026-036,#231A24,Stahlblau,Steel blue,Bleu acier,Azul acero,Blu acciaio,Staalblauw,,35,26,36,blue
RAL 5012,059-131-189,#3B83BD,Lichtblau,Light blue,Bleu clair,Azul luminoso,Blu luce,Lichtblauw,,59,131,189,blue
RAL 5013,037-041-074,#1E213D,Kobaltblau,Cobalt blue,Bleu cobalt,Azul cobalto,Blu cobalto,Kobaltblauw,,37,41,74,blue
RAL 5014,096-111-140,#606E8C,Taubenblau,Pigeon blue,Bleu pigeon,Azul olombino,Blu colomba,Duifblauw,,96,111,140,blue
RAL 5015,034-113-179,#2271B3,Himmelblau,Sky blue,Bleu ciel,Azul celeste,Blu cielo,Hemelsblauw,,34,113,179,blue
RAL 5017,006-057-113,#063971,Verkehrsblau,Traffic blue,Bleu signalisation,Azul tráfico,Blu traffico,Verkeersblauw,,6,57,113,blue
RAL 5018,063-136-143,#3F888F,Türkisblau,Turquoise blue,Bleu turquoise,Azul turquesa,Blu turchese,Turkooisblauw,,63,136,143,blue
RAL 5019,027-085-131,#1B5583,Capriblau,Capri blue,Bleu capri,Azul capri,Blu capri,Capriblauw,,27,85,131,blue
RAL 5020,029-051-074,#1D334A,Ozeanblau,Ocean blue,Bleu océan,Azul oceano,Blu oceano,Oceaanblauw,,29,51,74,blue
RAL 5021,037-109-123,#256D7B,Wasserblau,Water blue,Bleu d’eau,Azul agua,Blu acqua,Waterblauw,,37,109,123,blue
RAL 5022,037-040-080,#252850,Nachtblau,Night blue,Bleu nocturne,Azul noche,Blu notte,Nachtblauw,,37,40,80,blue
RAL 5023,073-103-141,#49678D,Fernblau,Distant blue,Bleu distant,Azul lejanía,Blu distante,Verblauw,,73,103,141,blue
RAL 5024,093-155-155,#5D9B9B,Pastellblau,Pastel blue,Bleu pastel,Azul pastel,Blu pastello,Pastelblauw,,93,155,155,equal
RAL 5025,042-100-120,#2A6478,Perlenzian,Pearl gentian blue,Gentiane nacré,Gencian perlado,Blu genziana perlato,Parelmoerblauw,,42,100,120,blue
RAL 5026,016-044-084,#102C54,Perlnachtblau,Pearl night blue,Bleu nuit nacré,Azul noche perlado,Blu notte perlato,Parelmoer-nachtblauw,,16,44,84,blue
RAL 6000,049-102-080,#316650,Patinagrün,Patina green,Vert patine,Verde patina,Verde patina,Patinagroen,,49,102,80,green
