RAL, RGB, HEX, German, English, French, Spanish, Italian, Nederlands,,R,G,B,parsed_col
RAL 6001,040-114-051,#287233,Smaragdgrün,Emerald green,Vert émeraude,Verde esmeralda,Verde smeraldo,Smaragdgroen,,40,114,51,green
RAL 6002,045-087-044,#2D572C,Laubgrün,Leaf green,Vert feuillage,Verde hoja,Verde foglia,Loofgroen,,45,87,44,green
RAL 6003,066-070-050,#424632,Olivgrün,Olive green,Vert olive,Verde oliva,Verde oliva,Olijfgroen,,66,70,50,green
RAL 6004,031-058-061,#1F3A3D,Blaugrün,Blue green,Vert bleu,Verde azulado,Verde bluastro,Blauwgroen,,31,58,61,blue
RAL 6005,047-069-056,#2F4538,Moosgrün,Moss green,Vert mousse,Verde musgo,Verde muschio,Mosgroen,,47,69,56,green
RAL 6006,062-059-050,#3E3B32,Grauoliv,Grey olive,Olive gris,Oliva grisáceo,Oliva grigiastro,Grijs olijfgroen,,62,59,50,red
RAL 6007,052-059-041,#343B29,Flaschengrün,Bottle green,Vert bouteille,Verde botella,Verde bottiglia,Flessegroen,,52,59,41,green
RAL 6008,057-053-042,#39352A,Braungrün,Brown green,Vert brun,Verde parduzco,Verde brunastro,Bruingroen,,57,53,42,red
RAL 6009,049-055-043,#31372B,Tannengrün,Fir green,Vert sapin,Verde abeto,Verde abete,Dennegroen,,49,55,43,green
RAL 6010,053-104-045,#35682D,Grasgrün,Grass green,Vert herbe,Verde hierba,Verde erba,Grasgroen,,53,104,45,green
RAL 6011,088-114-070,#587246,Resedagrün,Reseda green,Vert réséda,Verde reseda,Verde reseda,Resedagroen,,88,114,70,green
RAL 6012,052-062-064,#343E40,Schwarzgrün,Black green,Vert noir,Verde negruzco,Verde nerastro,Zwartgroen,,52,62,64,blue
RAL 6013,108-113-086,#6C7156,Schilfgrün,Reed green,Vert jonc,Verde caña,Verde canna,Rietgroen,,108,113,86,green
RAL 6014,071-064-046,#47402E,Gelboliv,Yellow olive,Olive jaune,Amarillo oliva,Oliva giallastro,Geel olijfgroen,,71,64,46,red
RAL 6015,059-060-054,#3B3C36,Schwarzoliv,Black olive,Olive noir,Oliva negruzco,Oliva nerastro,Zwart olijfgroen,,59,60,54,green
RAL 6016,030-089-069,#1E5945,Türkisgrün,Turquoise green,Vert turquoise,Verde turquesa,Verde turchese,Turkooisgroen,,30,89,69,green
RAL 6017,076-145-065,#4C9141,Maigrün,May green,Vert mai,Verde mayo,Verde maggio,Meigroen,,76,145,65,green
RAL 6018,087-166-057,#57A639,Gelbgrün,Yellow green,Vert jaune,Verde amarillento,Verde giallastro,Geelgroen,,87,166,57,green
RAL 6019,189-236-182,#BDECB6,Weißgrün,Pastel green,Vert blanc,Verde lanquecino,Verde biancastro,Witgroen,,189,236,182,green
RAL 6020,046-058-035,#2E3A23,Chromoxidgrün,Chrome green,Vert oxyde chromique,Verde cromo,Verde cromo,Chroom-oxydegroen,,46,58,35,green
RAL 6021,137-172-118,#89AC76,Blassgrün,Pale green,Vert pâle,Verde pálido,Verde pallido,Bleekgroen,,137,172,118,green
RAL 6022,037-034-027,#25221B,Braunoliv,Olive drab,Olive brun,Oliva parduzco,Oliva brunastro,Bruin olijfgroen,,37,34,27,red
RAL 6024,048-132-070,#308446,Verkehrsgrün,Traffic green,Vert signalisation,Verde tráfico,Verde traffico,Verkeersgroen,,48,132,70,green
RAL 6025,061-100-045,#3D642D,Farngrün,Fern green,Vert fougère,Verde helecho,Verde felce,Varengroen,,61,100,45,green
RAL 6026,001-093-082,#015D52,Opalgrün,Opal green,Vert opale,Verde opalo,Verde opale,Opaalgroen,,1,93,82,green
RAL 6027,132-195-190,#84C3BE,Lichtgrün,Light green,Vert clair,Verde luminoso,Verde chiaro,Lichtgroen,,132,195,190,green
RAL 6028,044-085-069,#2C5545,Kieferngrün,Pine green,Vert pin,Verde pino,Verde pino,Pijnboomgroen,,44,85,69,green
RAL 6029,032-096-061,#20603D,Minzgrün,Mint green,Vert menthe,Verde menta,Verde menta,Mintgroen,,32,96,61,green
RAL 6032,049-127-067,#317F43,Signalgrün,Signal green,Vert de sécurité,Verde señales,Verde segnale,Signaalgroen,,49,127,67,green
RAL 6033,073-126-118,#497E76,Minttürkis,Mint turquoise,Turquoise menthe,Turquesa menta,Turchese menta,Mintturquoise,,73,126,118,green
RAL 6034,127-181-181,#7FB5B5,Pastelltürkis,Pastel turquoise,Turquoise pastel,Turquesa pastel,Turchese pastello,Pastelturquoise,,127,181,181,equal
RAL 6035,028-084-045,#1C542D,Perlgrün,Pearl green,Vert nacré,Verde perlado,Verde perlato,Parelmoer-donkergroen,,28,84,45,green
RAL 6036,022-053-055,#193737,Perlopalgrün,Pearl opal green,Vert opal nacré,Verde ópalo perlado,Verde opalo perlato,Parelmoer-lichtgroen,,22,53,55,blue
RAL 6037,000-143-057,#008F39,Reingrün,Pure green,Vert pur,Verde puro,Verde puro,Zuivergroen,,0,143,57,green
RAL 6038,000-187-045,#00BB2D,Leuchtgrün,Luminous green,Vert brillant,Verde brillante,Verde brillante,Briljantgroen,,0,187,45,green
RAL 7000,120-133-139,#78858B,Fehgrau,Squirrel grey,Gris petit-gris,Gris ardilla,Grigio vaio,Pelsgrijs,,120,133,139,blue
RAL 7001,138-149-151,#8A9597,Silbergrau,Silver grey,Gris argent,Gris plata,Grigio argento,Zilvergrijs,,138,149,151,blue
RAL 7002,126-123-082,#7E7B52,Olivgrau,Olive grey,Gris olive,Gris oliva,Grigio olivastro,Olijfgrijs,,126,123,82,red
RAL 7003,108-112-089,#6C7059,Moosgrau,Moss grey,Gris mousse,Gris musgo,Grigio muschio,Mosgrijs,,108,112,89,green
RAL 7004,150-153-146,#969992,Signalgrau,Signal grey,Gris de sécurité,Gris señales,Grigio segnale,Signaalgrijs,,150,153,146,green
RAL 7005,100-107-099,#646B63,Mausgrau,Mouse grey,Gris souris,Gris ratón,Grigio topo,Muisgrijs,,100,107,99,green
RAL 7006,109-101-082,#6D6552,Beigegrau,Beige grey,Gris beige,Gris beige,Grigio beige,Beigegrijs,,109,101,82,red
RAL 7008,106-095-049,#6A5F31,Khakigrau,Khaki grey,Gris kaki,Gris caqui,Grigio kaki,Kakigrijs,,106,95,49,red
RAL 7009,077-086-069,#4D5645,Grüngrau,Green grey,Gris vert,Gris verdoso,Grigio verdastro,Groengrijs,,77,86,69,green
RAL 7010,076-081-074,#4C514A,Zeltgrau,Tarpaulin grey,Gris tente,Gris lona,Grigio tenda,Zeildoekgrijs,,76,81,74,green
RAL 7011,067-075-077,#434B4D,Eisengrau,Iron grey,Gris fer,Gris hierro,Grigio ferro,IJzergrijs,,67,75,77,blue
RAL 7012,078-087-084,#4E5754,Basaltgrau,Basalt grey,Gris basalte,Gris basalto,Grigio basalto,Bazaltgrijs,,78,87,84,green
RAL 7013,070-069-049,#464531,Braungrau,Brown grey,Gris brun,Gris parduzco,Grigio brunastro,Bruingrijs,,70,69,49,red
RAL 7015,067-071-080,#434750,Schiefergrau,Slate grey,Gris ardoise,Gris pizarra,Grigio ardesia,Leigrijs,,67,71,80,blue
RAL 7016,041-049-051,#293133,Anthrazitgrau,Anthracite grey,Gris anthracite,Gris antracita,Grigio antracite,Antracietgrijs,,41,49,51,blue
RAL 7021,035-040-043,#23282B,Schwarzgrau,Black grey,Gris noir,Gris negruzco,Grigio nerastro,Zwartgrijs,,35,40,43,blue
RAL 7022,051-047-044,#332F2C,Umbragrau,Umbra grey,Gris terre d’ombre,Gris sombra,Grigio ombra,Ombergrijs,,51,47,44,red
RAL 7023,104-108-094,#686C5E,Betongrau,Concrete grey,Gris béton,Gris hormigón,Grigio calcestruzzo,Betongrijs,,104,108,94,green
RAL 7024,071-074-081,#474A51,Graphitgrau,Graphite grey,Gris graphite,Gris grafita,Grigio grafite,Grafietgrijs,,71,74,81,blue
RAL 7026,047-053-059,#2F353B,Granitgrau,Granite grey,Gris granit,Gris granito,Grigio granito,Granietgrijs,,47,53,59,blue
RAL 7030,139-140-122,#8B8C7A,Steingrau,Stone grey,Gris pierre,Gris piedra,Grigio pietra,Steengrijs,,139,140,122,green
RAL 7031,071-075-078,#474B4E,Blaugrau,Blue grey,Gris bleu,Gris azulado,Grigio bluastro,Blauwgrijs,,71,75,78,blue
RAL 7032,184-183-153,#B8B799,Kieselgrau,Pebble grey,Gris silex,Gris guijarro,Grigio ghiaia,Kiezelgrijs,,184,183,153,red
RAL 7033,125-132-113,#7D8471,Zementgrau,Cement grey,Gris ciment,Gris cemento,Grigio cemento,Cementgrijs,,125,132,113,green
RAL 7034,143-139-102,#8F8B66,Gelbgrau,Yellow grey,Gris jaune,Gris amarillento,Grigio giallastro,Geelgrijs,,143,139,102,red
RAL 7035,215-215-215,#D7D7D7,Lichtgrau,Light grey,Gris clair,Gris luminoso,Grigio luce,Lichtgrijs,,215,215,215,equal
RAL 7036,127-118-121,#7F7679,Platingrau,Platinum grey,Gris platine,Gris platino,Grigio platino,Platinagrijs,,127,118,121,red
RAL 7037,125-127-120,#7D7F7D,Staubgrau,Dusty grey,Gris poussière,Gris polvo,Grigio polvere,Stofgrijs,,125,127,120,green
RAL 7038,195-195-195,#B5B8B1,Achatgrau,Agate grey,Gris agate,Gris ágata,Grigio agata,Agaatgrijs,,195,195,195,equal
RAL 7039,108-105-096,#6C6960,Quarzgrau,Quartz grey,Gris quartz,Gris cuarzo,Grigio quarzo,Kwartsgrijs,,108,105,96,red
RAL 7040,157-161-170,#9DA1AA,Fenstergrau,Window grey,Gris fenêtre,Gris ventana,Grigio finestra,Venstergrijs,,157,161,170,blue
RAL 7042,141-148-141,#8D948D,Verkehrsgrau A,Traffic grey A,Gris signalisation A,Gris tráfico A,Grigio traffico A,Verkeesgrijs A,,141,148,141,green
RAL 7043,078-084-082,#4E5452,Verkehrsgrau B,Traffic grey B,Gris signalisation B,Gris tráfico B,Grigio traffico B,Verkeersgrijs B,,78,84,82,green
RAL 7044,202-196-176,#CAC4B0,Seidengrau,Silk grey,Gris soie,Gris seda,Grigio seta,Zijdegrijs,,202,196,176,red
RAL 7045,144-144-144,#909090,Telegrau 1,Telegrey 1,Telegris 1,Gris tele 1,Tele grigio 1,Telegrijs 1,,144,144,144,equal
RAL 7046,130-137-143,#82898F,Telegrau 2,Telegrey 2,Telegris 2,Gris tele 2,Tele grigio 2,Telegrijs 2,,130,137,143,blue
RAL 7047,208-208-208,#D0D0D0,Telegrau 4,Telegrey 4,Telegris 4,Gris tele 4,Tele grigio 4,Telegrijs 4,,208,208,208,equal
RAL 7048,137-129-118,#898176,Perlmausgrau,Pearl mouse grey,Gris souris nacré,Gris musgo perlado,Grigio topo perlato,Parelmoer-muisgrijs,,137,129,118,red
RAL 8000,130-108-052,#826C34,Grünbraun,Green brown,Brun vert,Pardo verdoso,Marrone verdastro,Groenbruin,,130,108,52,red
RAL 8001,149-095-032,#955F20,Ockerbraun,Ochre brown,Brun terre de Sienne,Pardo ocre,Marrone ocra,Okerbruin,,149,95,32,red
RAL 8002,108-059-042,#6C3B2A,Signalbraun,Signal brown,Brun de sécurité,Marrón señales,Marrone segnale,Signaalbruin,,108,59,42,red
RAL 8003,115-066-034,#734222,Lehmbraun,Clay brown,Brun argile,Pardo arcilla,Marrone fango,Leembruin,,115,66,34,red
RAL 8004,142-064-042,#8E402A,Kupferbraun,Copper brown,Brun cuivré,Pardo cobre,Marrone rame,Koperbruin,,142,64,42,red
RAL 8007,089-053-031,#59351F,Rehbraun,Fawn brown,Brun fauve,Pardo corzo,Marrone capriolo,Reebruin,,89,53,31,red
RAL 8008,111-079-040,#6F4F28,Olivbraun,Olive brown,Brun olive,Pardo oliva,Marrone oliva,Olijfbruin,,111,79,40,red
RAL 8011,091-058-041,#5B3A29,Nussbraun,Nut brown,Brun noisette,Pardo nuez,Marrone noce,Notebruin,,91,58,41,red
RAL 8012,089-035-033,#592321,Rotbraun,Red brown,Brun rouge,Pardo rojo,Marrone rossiccio,Roodbruin,,89,35,33,red
RAL 8014,056-044-030,#382C1E,Sepiabraun,Sepia brown,Brun sépia,Sepia,Marrone seppia,Sepiabruin,,56,44,30,red
RAL 8015,099-058-052,#633A34,Kastanienbraun,Chestnut brown,Marron,Castaño,Marrone castagna,Kastanjebruin,,99,58,52,red
RAL 8016,076-047-039,#4C2F27,Mahagonibraun,Mahogany brown,Brun acajou,Caoba,Marrone mogano,Mahoniebruin,,76,47,39,red
RAL 8017,069-050-046,#45322E,Schokoladen-braun,Chocolate brown,Brun chocolat,Chocolate,Marrone cioccolata,Chocoladebruin,,69,50,46,red
RAL 8019,064-058-058,#403A3A,Graubraun,Grey brown,Brun gris,Pardo grisáceo,Marrone grigiastro,Grijsbruin,,64,58,58,red
RAL 8022,033-033-033,#212121,Schwarzbraun,Black brown,Brun noir,Pardo negruzco,Marrone nerastro,Zwartbruin,,33,33,33,equal
RAL 8023,166-094-046,#A65E2E,Orangebraun,Orange brown,Brun orangé,Pardo anaranjado,Marrone arancio,Oranjebruin,,166,94,46,red
RAL 8024,121-085-061,#79553D,Beigebraun,Beige brown,Brun beige,Pardo beige,Marrone beige,Beigebruin,,121,85,61,red
RAL 8025,117-092-072,#755C48,Blassbraun,Pale brown,Brun pâle,Pardo pálido,Marrone pallido,Bleekbruin,,117,92,72,red
RAL 8028,078-059-049,#4E3B31,Terrabraun,Terra brown,Brun terre,Marrón tierra,Marrone terra,Terrabruin,,78,59,49,red
RAL 8029,118-060-040,#763C28,Perlkupfer,Pearl copper,Cuivre nacré,Cobre perlado,Rame perlato,Parelmoerkoper,,118,60,40,red
RAL 9001,250-244-227,#FDF4E3,Cremeweiß,Cream,Blanc crème,Blanco crema,Bianco crema,Crèmewit,,250,244,227,red
RAL 9002,231-235-218,#E7EBDA,Grauweiß,Grey white,Blanc gris,Blanco grisáceo,Bianco grigiastro,Grijswit,,231,235,218,green
RAL 9003,244-244-244,#F4F4F4,Signalweiß,Signal white,Blanc de sécurité,Blanco señales,Bianco segnale,Signaalwit,,244,244,244,equal
RAL 9004,040-040-040,#282828,Signalschwarz,Signal black,Noir de sécurité,Negro señales,Nero segnale,Signaalzwart,,40,40,40,equal
RAL 9005,010-010-013,#0A0A0A,Tiefschwarz,Jet black,Noir foncé,Negro intenso,Nero intenso,Gitzwart,,10,10,13,blue
RAL 9006,165-165-165,#A5A5A5,Weißaluminium,White aluminium,Aluminium blanc,Aluminio blanco,Aluminio brillante,Blank aluminiumkleurig,,165,165,165,equal
RAL 9007,143-143-143,#8F8F8F,Graualuminium,Grey aluminium,Aluminium gris,Aluminio gris,Aluminio grigiastro,Grijs aluminiumkleurig,,143,143,143,equal
RAL 9010,255-255-255,#FFFFFF,Reinweiß,Pure white,Blanc pur,Blanco puro,Bianco puro,Zuiverwit,,255,255,255,equal
RAL 9011,028-028-028,#1C1C1C,Graphitschwarz,Graphite black,Noir graphite,Negro grafito,Nero grafite,Grafietzwart,,28,28,28,equal
RAL 9016,246-246-246,#F6F6F6,Verkehrsweiß,Traffic white,Blanc signalisation,Blanco tráfico,Bianco traffico,Verkeerswit,,246,246,246,equal
RAL 9017,030-030-030,#1E1E1E,Verkehrs-schwarz,Traffic black,Noir signalisation,Negro tráfico,Nero traffico,Verkeerszwart,,30,30,30,equal
RAL 9018,215-215-215,#D7D7D7,Papyrusweiß,Papyrus white,Blanc papyrus,Blanco papiro,Bianco papiro,Papyruswit,,215,215,215,equal
RAL 9022,156-156-156,#9C9C9C,Perlhellgrau,Pearl light grey,Gris clair nacré,Gris claro perlado,Grigio chiaro perlato,Parelmoer-lichtgrijs,,156,156,156,equal
RAL 9023,130-130-130,#828282,Perldunkelgrau,Pearl dark grey,Gris fonçé nacré,Gris oscuro perlado,Grigio scuro perlato,Parelmoer-donkergrijs,,130,130,130,equal
